Common_Name,Other_Name,Sci_Name
African Elephant,,Loxodonta africana
African Wild Dog,,Lycaon pictus
Albacore Tuna,,Thunnus alalunga
Amazon River Dolphin,,Inia geoffrensis
Amur Leopard,,Panthera pardus
Arctic Fox,,Vulpes lagopus
Arctic Wolf,Grey Wolf,Canis lupus
Asian Elephant,,Elephas maximus
Beluga,Beluga Whale,Delphinapterus leucas
Bigeye Tuna,,Thunnus obesus
Black Rhino,,Diceros bicornis
Black Spider Monkey,Guiana Spider Monkey,Ateles paniscus
Black-footed Ferret,,Mustela nigripes
Blue Whale,,Balaenoptera musculus
Bluefin Tuna,,Thunnus Thynnus
Bonobo,,Pan paniscus
Bornean Orangutan,,Pongo pygmaeus
Bowhead Whale,,Balaena mysticetus
Brown Bear,,Ursus arctos
Chimpanzee,,Pan troglodytes
Common Bottlenose Dolphin,,Tursiops truncates
Dugong,,Dugong dugon
Eastern Lowland Gorilla,Eastern Gorilla ,Gorilla beringei
Fin Whale,,Balaenoptera physalus
Galapagos Penguin,,Spheniscus mendiculus
Ganges River Dolphin,South Asian River Dolphin,Platanista gangetica
Giant Panda,,Ailuropoda melanoleuca
Gray Whale,,Eschrichtius robustus
Great White Shark,,Carcharodon carcharias
Greater One-Horned Rhino,Indian Rhinoceros,Rhinoceros unicornis
Greater Sage-Grouse,Sage Grouse,Centrocercus urophasianus
Green Turtle,,Chelonia mydas
Hawksbill Turtle,,Eretmochelys imbricata
Hector's Dolphin,,Cephalorhynchus hectori
Hippopotamus,,Hippopotamus amphibius
Humphead Wrasse,,Cheilinus undulatus
Irrawaddy Dolphin,,Orcaella brevirostris
Jaguar,,Panthera onca
Javan Rhino,,Rhinoceros sondaicus
Leatherback Turtle,,Dermochelys coriacea
Loggerhead Turtle,,Caretta caretta
Macaw,,Ara ararauna
Marine Iguana,Fernandina Marine Iguana,Amblyrhynchus cristatus
Mountain Plover,,Charadrius montanus
Narwhal,,Monodon monoceros
North Atlantic Right Whale,,Eubalaena glacialis
Olive Ridley Turtle,,Lepidochelys olivacea
Plains Bison,American Bison,Bison bison
Poison Dart Frog,,Dendrobates leucomelas
Polar Bear,,Ursus maritimus
Pronghorn,,Antilocapra americana
Red Panda,,Ailurus fulgens
Saola,,Pseudoryx nghetinhensis
Sea Lions,,Zalophus wollebaeki
Sei Whale,,Balaenoptera borealis
Skipjack Tuna,,Katsuwonus pelamis
Snow Leopard,,Panthera uncia
Southern rockhopper penguin,,Eudyptes chrysocome
Sumatran Orangutan,,Pongo abelii
Sumatran Rhino,,Dicerorhinus sumatrensis
Swift Fox,,Vulpes velox
Tiger,,Panthera tigris
Tree Kangaroo,,Dendrolagus sp.
Vaquita,,Phocoena sinus
Western Lowland Gorilla,Western Gorilla,Gorilla gorilla gorilla
Whale Shark,,Rhincodon typus
White Rhino,,Ceratotherium simum
Yangtze Finless Porpoise,Narrow-ridged Finless Porpoise,Neophocaena asiaeorientalis
Yellowfin Tuna,,Thunnus albacares
